Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
766	Activity Book / Town / City / Stuntz	b22cty01nl	City - Alle Remmen Los! (Softcover) (Dutch Edition)	2022	174	20.5 x 28.8 x 2.2
1021	Magazine, City	mag2022cty38de	City Magazine 2022 Issue 38 (German)	2022	?	? x ? x ?
1109	Magazine, Explorer	mag2022ex03de	Explorer Magazine 2022 Issue 3 (German)	2022	89	21 x 28 x 0.2
1022	Magazine, Friends	mag2022frnd02de	Friends Magazine 2022 Issue 2 (German)	2022	?	? x ? x ?
1024	Magazine, NINJAGO	mag2022njo86de	NINJAGO Magazine 2022 Issue 86 (German)	2022	?	? x ? x ?
332	Informational Book / Train / 4.5V	3340ja	新しい レゴモーター のしおり 4,5V (3340-Jap)	1969	7	13.5 x 13.5 x 0.05
332	Informational Book / Train / 4.5V	111708ja	4.5Vモーターで 動くレゴ・ブロックを作ろう!! (111708-JA)	1985	8	13.5 x 13.5 x 0.04
331	Comic Book / Pirates / Pirates I	102704SF	Pirate Comic - Kultainen medaljonki (102704-SF)	1989	66	17.2 x 24.8 x 0.3
1023	Magazine, NEXO KNIGHTS	mag2018nex04cz	NEXO KNIGHTS Magazine 2018 Issue 4 (Czech)	2018	?	21 x 28 x 0.15
1063	Magazine, Super Heroes / Batman II	mag2021shba02cz	Batman Magazine 2021 Issue 2 (Czech)	2021	?	21 x 28 x 0.13
1087	Magazine, Disney Princess	mag2021dp02cz	Disney Princess Magazine 2021 Issue 2 (Czech)	2021	81	21 x 28 x 0.13
1063	Magazine, Super Heroes / Avengers	mag2021shav01cz	Avengers Magazine 2021 Issue 1 (Czech)	2021	149	21 x 28 x 0.2
1022	Magazine, Friends	mag2021frnd04cz	Friends Magazine 2021 Issue 4 (Czech)	2021	?	21 x 28 x 0.13
1022	Magazine, Friends	mag2021frnd01cz	Friends Magazine 2021 Issue 1 (Czech)	2021	81	21 x 28 x 0.13
1022	Magazine, Friends	mag2021frnd02cz	Friends Magazine 2021 Issue 2 (Czech)	2021	103	21 x 31.5 x 0.2
1063	Magazine, Super Heroes / Avengers	mag2021shav02cz	Avengers Magazine 2021 Issue 2 (Czech)	2021	145	21 x 28 x 0.13
1220	Magazine, Technic	mag2021tech01de	Technic Magazine 2021 XXL Issue 1 (German)	2021	85	21 x 28 x 0.2
1025	Magazine, Star Wars	mag2022sw81de	Star Wars Magazine 2022 Issue 81 (German)	2022	81	21 x 28 x 0.13
766	Activity Book / Harry Potter	b22hp01nl	Harry Potter - Magische Momenten (Dutch Edition)	2022	153	20.5 x 28.8 x 1.7
462	Magazine	mag1990lc01jp	LEGO Club Magazine (Japanese) 1990 Summer vol.1	1990	20	21 x 29.5 x 0.1
1021	Magazine, City	mag2021cty03cz	City Magazine 2021 Issue 3 (Czech)	2021	106	21 x 31.5 x 0.2
1021	Magazine, City	mag2019cty04cz	City Magazine 2019 Issue 4 (Czech)	2019	110	21 x 30 x 0.2
1021	Magazine, City	mag2020cty05cz	City Magazine 2020 Issue 5 (Czech)	2020	81	21 x 28 x 0.2
1024	Magazine, NINJAGO	mag2021njo04cz	NINJAGO Magazine 2021 Issue 4 (Czech)	2021	85	21 x 28 x 0.3
1024	Magazine, NINJAGO	mag2021njo03cz	NINJAGO Magazine 2021 Issue 3 (Czech)	2021	81	21 x 28 x 0.3
1024	Magazine, NINJAGO / Legacy	mag2021njol01cz	NINJAGO Legacy Magazine 2021 Issue 1 (Czech)	2021	149	22.8 x 29.7 x 0.3
1024	Magazine, NINJAGO / Legacy	mag2021njol03cz	NINJAGO Legacy Magazine 2021 Issue 3 (Czech)	2021	151	22.8 x 29.7 x 0.3
1021	Magazine, City	mag2021cty02cz	City Magazine 2021 Issue 2 (Czech)	2021	114	21 x 31.5 x 0.2
1021	Magazine, City	mag2021cty01cz	City Magazine 2021 Issue 1 (Czech)	2021	112	21 x 28 x 0.2
1021	Magazine, City	mag2021cty04cz	City Magazine 2021 Issue 4 (Czech)	2021	100	21 x 31.5 x 0.2
1021	Magazine, City	mag2020cty02cz	City Magazine 2020 Issue 2 (Czech)	2020	147	21 x 30 x 0.2
1021	Magazine, City	mag2019cty03cz	City Magazine 2019 Issue 3 (Czech)	2019	120	21 x 30 x 0.2
1025	Magazine, Star Wars	mag2018sw08cz	Star Wars Magazine 2018 Issue 8 (Czech)	2018	81	21 x 28 x 0.2
1025	Magazine, Star Wars	mag2019sw07cz	Star Wars Magazine 2019 Issue 7 (Czech)	2019	81	21 x 28 x 0.2
766	Activity Book / Town / City / Construction	9789030508403	City - Op de bouwplaats (Dutch Edition)	2022	351	? x ? x ?
766	Activity Book / Town / City / Fire	9789030508458	City - Bij de brandweer (Dutch Edition)	2022	346	? x ? x ?
1021	Magazine, City	mag2022cty39de	City Magazine 2022 Issue 39 (German)	2022	?	? x ? x ?
505	Story Book / Hero Factory	9781465402653	Hero Factory - Brain Attack!	2013	79	15 x 22.6 x 0.3
552	Coloring Book / Harry Potter	b22hp13nl	Harry Potter - Toveren met Kleur (Dutch Edition)	2022	394	20.6 x 28.8 x 0.8
552	Coloring Book / Jurassic World	9789030508564	Jurassic World - Een Grom-weldig Kleurboek! (Dutch Edition)	2022	388	20.6 x 28.8 x 0.8
332	Informational Book / Train / 4.5V	3340se	Fakta om Legos nya batterimotor	1969	6.3	13.5 x 13.5 x 0.1
1261	Magazine, LEGO Life	mag2022life02de	LEGO Life Magazine 2022 Issue 2 March - June (German)	2022	60	20.2 x 26.8 x 0.3
1109	Magazine, Explorer	mag2022ex04de	Explorer Magazine 2022 Issue 4 (German)	2022	89	21 x 28 x 0.2
1024	Magazine, NINJAGO	mag2022njo87de	NINJAGO Magazine 2022 Issue 87 (German)	2022	?	? x ? x ?
1024	Magazine, NINJAGO	mag2016njo04sfr	NINJAGO Magazine 2016 Issue 4 Super (French)	2016	?	? x ? x ?
766	Activity Book / Town / City / Police	b20cty01nl	City - Duke's Missie (Softcover) (Dutch Edition)	2020	180	20.5 x 29 x 2
1063	Magazine, Super Heroes / Avengers	mag2020shav02fr	Avengers Magazine 2020 Issue 2 (French)	2020	?	? x ? x ?
1026	Magazine, LEGENDS OF CHIMA	mag2015chi16fr	LEGENDS OF CHIMA Magazine 2015 Issue 16 (French)	2015	?	? x ? x ?
1220	Magazine, Technic	mag2021tech01fr	Technic Magazine 2021 XXL Issue 1 (French)	2021	85	21.1 x 28 x 0.2
1165	Magazine, Minecraft	mag2021min01fr	Minecraft Magazine 2021 Issue 1 (French)	2021	?	? x ? x ?
1165	Magazine, Minecraft	mag2022min02fr	Minecraft Magazine 2022 Issue 2 (French)	2022	?	? x ? x ?
1025	Magazine, Star Wars	mag2016sw16fr	Star Wars Magazine 2016 Issue 16 (French)	2016	?	? x ? x ?
1025	Magazine, Star Wars	mag2016sw17fr	Star Wars Magazine 2016 Issue 17 (French)	2016	?	? x ? x ?
1023	Magazine, NEXO KNIGHTS	mag2016nex06fr	NEXO KNIGHTS Magazine 2016 Issue 6 (French)	2016	?	? x ? x ?
1023	Magazine, NEXO KNIGHTS	mag2016nex07fr	NEXO KNIGHTS Magazine 2016 Issue 7 (French)	2016	?	? x ? x ?
1024	Magazine, NINJAGO / Legacy	mag2020njol04fr	NINJAGO Legacy Magazine 2020 Issue 4 (French)	2020	?	? x ? x ?
1024	Magazine, NINJAGO	mag2022njo13sfr	NINJAGO Magazine 2022 Issue 13 Super (French)	2022	?	? x ? x ?
1024	Magazine, NINJAGO	mag2022njo13fr	NINJAGO Magazine 2022 Issue 13 (French)	2022	?	? x ? x ?
1024	Magazine, NINJAGO / Legacy	mag2022njol09fr	NINJAGO Legacy Magazine 2022 Issue 9 (French)	2022	?	? x ? x ?
1084	Magazine, Jurassic World	mag2021jw04fr	Jurassic World Magazine 2021 Issue 4 (French)	2021	?	? x ? x ?
1084	Magazine, Jurassic World	mag2022jw05fr	Jurassic World Magazine 2022 Issue 5 (French)	2022	?	? x ? x ?
1021	Magazine, City	mag2022cty13pfr	City Magazine 2022 Issue 13 Plus (French)	2022	?	? x ? x ?
1021	Magazine, City	mag2022cty13fr	City Magazine 2022 Issue 13 (French)	2022	?	? x ? x ?
1024	Magazine, NINJAGO / Legacy	mag2022njol02nl	NINJAGO Legacy Magazine 2022 Issue 2 (Dutch)	2022	149	22.8 x 29.7 x 0.13
1063	Magazine, Super Heroes / Batman II	mag2022shba20de	Batman Magazine 2022 Issue 20 (German)	2022	81	21 x 28 x 0.13
1165	Magazine, Minecraft	mag2021min02de	Minecraft Magazine 2021 Issue 2 (German)	2022	85	21 x 28 x 0.13
1021	Magazine, City	mag2022cty03nl	City Magazine 2022 Issue 3 (Dutch)	2022	112	21 x 28 x 0.2
1084	Magazine, Jurassic World	mag2022jw03nl	Jurassic World Magazine 2022 Issue 3 (Dutch)	2022	106	22.8 x 30 x 2
1024	Magazine, NINJAGO	mag2022njo04nl	NINJAGO Magazine 2022 Issue 4 (Dutch)	2022	97	21 x 28 x 1.5
1022	Magazine, Friends	mag2022frnd03nl	Friends Magazine 2022 Issue 3 (Dutch)	2022	101	20.8 x 27.9 x 0.13
1063	Magazine, Super Heroes / Avengers	mag2022shav02nl	Avengers Magazine 2022 Issue 2 (Dutch)	2022	94	21 x 28 x 1
1063	Magazine, Super Heroes / Batman II	mag2021shba03cz	Batman Magazine 2021 Issue 3 (Czech)	2021	133	22.9 x 30 x 0.13
1063	Magazine, Super Heroes / Avengers	mag2021shav03cz	Avengers Magazine 2021 Issue 3 (Czech)	2021	81	21 x 28 x 0.13
1084	Magazine, Jurassic World	mag2021jw02cz	Jurassic World Magazine 2021 Issue 2 (Czech)	2021	95	21 x 28 x 0.13
