Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
78	FreeStyle	4131-1	FreeStyle Building Set #2	1995	?	? x ? x ?
78	FreeStyle	4132-1	FreeStyle Building Set #3	1995	?	? x ? x ?
78	FreeStyle	4133-1	Small FreeStyle Bucket #2	1995	?	? x ? x ?
78	FreeStyle	4134-1	Large FreeStyle Bucket #1	1995	?	? x ? x ?
78	FreeStyle	4135-1	FreeStyle Garden Friends	1996	?	? x ? x ?
78	FreeStyle	4137-1	Small FreeStyle Clearpack	1997	211	19.5 x 18.5 x 12
78	FreeStyle	4139-1	FreeStyle Bucket #1	1997	?	? x ? x ?
78	FreeStyle	4142-1	FreeStyle Building Set #4	1995	?	? x ? x ?
78	FreeStyle	4143-1	FreeStyle Building Set #5	1995	?	? x ? x ?
78	FreeStyle	4144-1	FreeStyle Brick Vac Bus	1995	?	? x ? x ?
78	FreeStyle	4145-1	FreeStyle Playcase	1995	?	29 x 26.4 x 10.5
78	FreeStyle	4146-1	Extra Large FreeStyle Bucket	1995	?	? x ? x ?
78	FreeStyle	4147-1	FreeStyle Elephant Villa	1996	?	18.5 x 9.1 x 28
78	FreeStyle	4151-1	Girl's FreeStyle Set	1995	170	19 x 24 x 9.5
78	FreeStyle	4152-1	Large FreeStyle Bucket #2	1995	?	21 x 22.5 x 25.5
78	FreeStyle	4153-1	Large FreeStyle Playcase	1995	?	40 x 29.5 x 10.8
78	FreeStyle	4161-1	Girl's FreeStyle Suitcase	1995	490	30 x 25 x 11.5
78	FreeStyle	4162-1	FreeStyle Multibox	1995	204	28.75 x 28.75 x 9.5
78	FreeStyle	4163-1	Electric FreeStyle Set	1995	390	43 x 28.5 x 6
78	FreeStyle	4169-1	FreeStyle Gift Item	1997	488	48 x 29 x 9.6
85	Homemaker	230-1	Hairdressing Salon	1978	180	29 x 23 x 6
85	Homemaker / Hospital	231-1	Hospital	1978	313	38 x 31 x 6
85	Homemaker	232-1	Bungalow	1978	458	46.7 x 38.1 x 6
85	Homemaker	261-1	Bathroom	1979	?	? x ? x ?
85	Homemaker	265-1	Bathroom	1974	94	20 x 20 x 5
85	Homemaker	268-1	Family Room	1979	?	? x ? x ?
85	Homemaker	269-1	Kitchen	1979	?	31.5 x 19.5 x 5
85	Homemaker	276-1	Doctor's Office	1977	21	13.6 x 10 x 4.1
85	Homemaker	277-1	Fireplace	1977	25.3	13.4 x 9.9 x 4.3
85	Homemaker	278-1	Television Room	1978	15.3	15.5 x 8.2 x 3.6
85	Homemaker	296-1	Ladies' Hairdressers	1977	?	20.8 x 9.9 x 4.2
85	Homemaker	297-1	Nursery	1978	135	23 x 19 x 5
85	Homemaker	5233-1	Bedroom	1980	144.24	23.2 x 19.3 x 4.5
516	4 Juniors / Jack Stone / Police	4600-1	Police Cruiser	2001	29	14.5 x 14.5 x 4.7
516	4 Juniors / Jack Stone / Fire	4601-1	Fire Cruiser	2001	?	14.2 x 14.3 x 4.7
516	4 Juniors / Jack Stone / Traffic	4603-1	Res-Q Wrecker	2001	36	19 x 14.5 x 4.7
516	4 Juniors / Jack Stone / Police	4604-1	Police Copter	2001	40	19 x 14.5 x 6
516	4 Juniors / Jack Stone / Fire	4605-1	Fire Response SUV	2001	45	24 x 14.5 x 4.7
516	4 Juniors / Jack Stone / Traffic	4606-1	Aqua Res-Q Transport	2001	97	23.7 x 23.8 x 5.9
516	4 Juniors / Jack Stone / Traffic	4607-1	Copter Transport	2001	127	33.5 x 23.5 x 6
516	4 Juniors / Jack Stone / Police	4608-1	Bank Breakout	2001	119	33.5 x 24 x 4.7
516	4 Juniors / Jack Stone / Fire	4609-1	Fire Attack Team	2001	195.5	38.5 x 29 x 6
516	4 Juniors / Jack Stone / Traffic	4610-1	Aqua Res-Q Super Station	2001	?	? x ? x ?
516	4 Juniors / Jack Stone / Police	4611-1	Police HQ	2001	751	53.3 x 38.1 x 6.5
179	Racers / Xalax	1202-1	Single Racers Figure polybag	2001	?	? x ? x ?
179	Racers / Xalax	4566-1	Gear	2001	28	9.2 x 7 x 14
179	Racers / Xalax	4567-1	Surfer	2001	28	9.2 x 7 x 14
