Category ID	Category Name	Number	Name	Alternate Item Number	Weight (in Grams)	Dimensions
775	Slope, Curved, Decorated	44126pb018	Slope, Curved 6 x 2 with Number 1 in Circle, Shell, Vodafone, Olympus, Fiat, and Ferrari Logos on Top, Vodafone Logo on Both Sides Pattern (Stickers) - Sets 8672 / 8673		2.7	6 x 2 x 1
775	Slope, Curved, Decorated	44126pb019	Slope, Curved 6 x 2 with Number 2 in Circle, Shell, Vodafone, Olympus, Fiat, and Ferrari Logos on Top, Vodafone Logo on Both Sides Pattern (Stickers) - Sets 8672 / 8673		2.7	6 x 2 x 1
142	Minifigure, Body Wear	89917	Minifigure Armor Breastplate with Shoulder Bands, Fins and Debossed Atlantis Triangle	91675	0.56	? x ? x ?
1097	Minifigure, Torso Assembly, Decor.	973pb0700c01	Torso Alien with Muscles Outline, Scales, Belts and Medallion Pattern / Sand Green Arms / Sand Green Hands		1.3	? x ? x ?
1098	Minifigure, Legs, Decorated	970c00pb0064	Hips and Legs with Scales and Leg Protection Pattern		1.15	? x ? x ?
118	Brick, Decorated	3002pb15	Brick 2 x 3 with Box and Arrows and Globe Pattern on Both Sides (Stickers) - Set 6542		1.94	2 x 3 x 1
132	Window, Glass & Shutter, Decorated	2494pb15	Glass for Window 1 x 4 x 5 with 6 White Stripes Pattern (Sticker) - Set 6542		2	? x ? x ?
105	Support	2635pb01	Support Crane Stand Double with '10m' Clearance and Black and Yellow Danger Stripes Pattern (Stickers) – Set 6542		21.5	16 x 4 x 16
118	Brick, Decorated	crssprt02pb45d	Brick 1 x 6 without Bottom Tubes with Cross Side Supports with Green 'Teater' Script Pattern		2.5	1 x 6 x 1
18	Minifigure, Utensil	57099	Minifigure, Utensil Soccer Goalie Mitt		?	? x ? x ?
943	Minifigure, Utensil, Decorated	57099pb01L	Minifigure, Utensil Soccer Goalie Mitt with Finger Pattern on Both Sides and Adidas Logos Left (Stickers) - Set 3573		?	? x ? x ?
943	Minifigure, Utensil, Decorated	57099pb01R	Minifigure, Utensil Soccer Goalie Mitt with Finger Pattern on Both Sides and Adidas Logos Right (Stickers) - Set 3573		?	? x ? x ?
582	Stickered Assembly	BA012pb04	Stickered Assembly 6 x 1 x 3 with Ice Cream Pattern (Sticker) - Set 3665 - 3 Brick 1 x 6		7	6 x 1 x 3
461	Panel, Decorated	4865pb032	Panel 1 x 2 x 1 with Train Logo Black Pattern on Outside (Sticker) - Set 4555		0.46	1 x 2 x 1
83	Hinge, Decorated	2873pb11	Hinge Train Gate 2 x 4 with Box and Arrows and Globe Pattern (Sticker) - Set 4555		1.02	2 x 4 x 0
105	Support	2635pb02	Support Crane Stand Double with Arrows and Black and Yellow Danger Stripes Pattern (Stickers) – Set 4555		21.5	16 x 4 x 16
88	String Reel / Winch	73037pb02	String Reel Winch 2 x 4 x 2 with Light Gray Drum with '240457' and 'P' and 't 1880 kg' Pattern on Both Sides (Stickers) - Set 4555		5.18	2 x 4 x 2
3	Boat	2623pb02	Boat, Bow Top 8 x 10 x 1 with White 'ATLANTIC' and White Stripes Pattern on Both Sides (Stickers) - Set 6542		7.15	8 x 10 x 1
118	Brick, Decorated	3008pb113	Brick 1 x 8 with White 'ATLANTIC' Pattern (Sticker) - Set 6542		3.21	1 x 8 x 1
118	Brick, Decorated	3001pb072	Brick 2 x 4 with Tread Plate Pattern (Sticker) - Set 3180		2.34	2 x 4 x 1
775	Slope, Curved, Decorated	45411pb08	Slope, Curved 6 x 8 x 2 Double with Octan Logo Pattern on Both Sides (Stickers) - Set 3180		11.68	6 x 8 x 2
775	Slope, Curved, Decorated	45411pb09	Slope, Curved 6 x 8 x 2 Double with 'Energy' Pattern Both Sides (Stickers) - Set 3180	56204pb09	11.68	6 x 8 x 2
118	Brick, Decorated	3245bpb17	Brick 1 x 2 x 2 with Inside Axle Holder with Octan Logo Pattern (Sticker) - Set 3180		1.5	1 x 2 x 2
118	Brick, Decorated	3245bpb18	Brick 1 x 2 x 2 with Inside Axle Holder with 'L. 2.14' and '* 3.01' Pattern (Sticker) - Set 3180		1.5	1 x 2 x 2
578	Wedge, Decorated	52031pb017	Wedge 4 x 6 x 2/3 Triple Curved with Octan Logo Pattern (Sticker) - Set 3180		3.3	4 x 6 x 0.67
39	Tile, Decorated	2431pb0099	Tile 1 x 4 with Black 'JM 3180' Pattern on White Background (Sticker) - Set 3180		0.53	1 x 4 x 0
39	Tile, Decorated	3069pb0130	Tile 1 x 2 with Black 'JM 3180' Pattern on White Background (Sticker) - Set 3180	3069bpb0130	0.26	1 x 2 x 0
238	Minifigure, Head	3626pb0452	Minifigure, Head Dual Sided Black Eyebrows with Scar, Sunglasses with Dark Red Lenses and White Reflections, Bright Light Orange Beard Shadow with Stubble, Gold Tooth, Angry Bared Teeth / Lopsided Open Mouth Smile Pattern	3626bpb0452,3626cpb0452	0.54	? x ? x ?
1097	Minifigure, Torso Assembly, Decor.	973pb0701c01	Torso World Racers - White and Silver Overalls, Red Bandana Pattern / White Arms / Black Hands		1.25	? x ? x ?
150	Minifigure, Torso	973pb0701	Torso World Racers - White and Silver Overalls, Red Bandana Pattern		0.82	? x ? x ?
1097	Minifigure, Torso Assembly, Decor.	973pb0702c01	Torso World Racers - Dark Bluish Gray Overalls with Tools Pattern / White Arms / Black Hands		1.25	? x ? x ?
150	Minifigure, Torso	973pb0702	Torso World Racers - Dark Bluish Gray Overalls with Tools Pattern		0.82	? x ? x ?
160	Sticker Sheet	8864stk02	Sticker Sheet for Set 8864, Sheet 2 - (89824/4580692)	89824	1.54	? x ? x ?
160	Sticker Sheet	8864stk01	Sticker Sheet for Set 8864, Sheet 1 - (89823/4580689)	89823	5.75	? x ? x ?
160	Sticker Sheet	8863stk02	Sticker Sheet for Set 8863, Sheet 2 - (90735/4584370)	90735	1.2	? x ? x ?
