Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To
100	Glitter Trans-Dark Pink	CE1d9b	Glitter	12	40	160	19	1999	2024
162	Glitter Trans-Light Blue	68BCC5	Glitter	17	29	191	32	2015	2024
163	Glitter Trans-Neon Green	C0F500	Glitter	1	8	135	2	2015	2018
222	Glitter Trans-Orange	D04010	Glitter	1	1	135	2	2020	2020
102	Glitter Trans-Purple	3A2B82	Glitter	16	67	255	20	2000	2025
116	Speckle Black-Copper	5F4E47	Speckle	5	3	188	5	2006	2006
151	Speckle Black-Gold	AB9421	Speckle	2	4	196	5	2010	2011
111	Speckle Black-Silver	7C7E7C	Speckle	15	49	235	21	2005	2013
117	Speckle DBGray-Silver	4A6363	Speckle	5	7	191	10	2006	2006
142	Mx Aqua Green	75DBB6	Modulex	1	2	27	9	1993	2001
128	Mx Black	322D29	Modulex	2	2	306	236	1963	2002
132	Mx Brown	9C7C4F	Modulex	1	2	34	27	1963	1970
133	Mx Buff	EED9A4	Modulex	1	2	38	42	1963	1983
126	Mx Charcoal Gray	534E4A	Modulex	1	2	14		1993	2001
149	Mx Clear	EEEEEE	Modulex	1	2	50	41	1963	1975
214	Mx Foil Dark Blue	4B8AA4	Modulex	1	2	2	1	1965	1983
210	Mx Foil Dark Gray	948F84	Modulex	1	2	3	1	1965	1983
212	Mx Foil Dark Green	5E734E	Modulex	1	2	5		1965	1983
215	Mx Foil Light Blue	83A7A9	Modulex	1	2	2		1965	1983
211	Mx Foil Light Gray	D1CDBD	Modulex	1	2	2		1965	1983
213	Mx Foil Light Green	B3C068	Modulex	1	2	2	1	1965	1989
219	Mx Foil Orange	FB9D2B	Modulex	1	2	2	1	1965	1983
217	Mx Foil Red	BB5D51	Modulex	1	2	2	1	1965	1989
216	Mx Foil Violet	8B6E82	Modulex	1	2	2		1965	1983
218	Mx Foil Yellow	FFEE77	Modulex	1	2	2		1965	1983
139	Mx Lemon	F1E145	Modulex	1	2	19	21	1975	1983
124	Mx Light Bluish Gray	BDBDB8	Modulex	1	2	23	47	1993	2001
125	Mx Light Gray	C6C8C3	Modulex	1	2	63	63	1963	1983
136	Mx Light Orange	FFB647	Modulex	1	2	17	5	1993	2001
137	Mx Light Yellow	F8E469	Modulex	1	2	21	8	1993	2001
144	Mx Medium Blue	75A2CC	Modulex	1	2	19	10	1993	2001
138	Mx Ochre Yellow	E5C230	Modulex	1	2	22	20	1963	1970
140	Mx Olive Green	8FA05A	Modulex	1	2	21	21	1963	1970
135	Mx Orange	F58D26	Modulex	1	2	29	26	1969	1983
145	Mx Pastel Blue	7DC1D8	Modulex	1	2	25	23	1969	1983
141	Mx Pastel Green	B1D52C	Modulex	1	2	33	34	1975	1983
148	Mx Pink	EDA1AE	Modulex	1	2	23	22	1975	1983
130	Mx Pink Red	FB9392	Modulex	1	2	15	5	1993	2001
129	Mx Red	E04F32	Modulex	1	2	30	29	1969	1983
146	Mx Teal Blue	4C7D89	Modulex	1	2	17	15	1963	1970
134	Mx Terracotta	B66A4B	Modulex	1	2	34	28	1963	1983
143	Mx Tile Blue	0046A5	Modulex	1	1	86		1994	1994
131	Mx Tile Brown	5A4238	Modulex	1	1	172	2	1994	1994
127	Mx Tile Gray	A19A8F	Modulex	1	2	227		1994	1997
147	Mx Violet	BE9BC5	Modulex	1	2	22	8	1993	2001
123	Mx White	F2EDE5	Modulex	2	2	758	461	1963	2001
